month,week,sport,event,type,recurs_2027,coverage
May 2026,May 4,Horse Racing,Golden Tempo wins the Kentucky Derby as a 30-1 long shot (May 2),OUTCOME,yes,GAP
May 2026,May 4,NBA,Conference semifinals get underway,RECURRING,yes,excluded-by-policy
May 2026,May 4,NHL,Conference semifinals get underway,RECURRING,yes,in-scope
May 2026,May 11,Horse Racing,Napoleon Solo wins the Preakness Stakes,OUTCOME,yes,GAP
May 2026,May 11,Golf,"PGA Championship week begins in Newtown Square, PA",RECURRING,yes,GAP
May 2026,May 18,Golf,Aaron Rai wins the PGA Championship at Aronimink (May 14-17),OUTCOME,yes,GAP
May 2026,May 18,NBA,Conference finals begin,RECURRING,yes,excluded-by-policy
May 2026,May 18,NHL,Conference finals begin,RECURRING,yes,in-scope
May 2026,May 25,Auto Racing,Felix Rosenqvist wins the Indianapolis 500 (May 24),OUTCOME,yes,GAP
May 2026,May 25,NBA,Knicks and Spurs advance to the NBA Finals,OUTCOME,yes,excluded-by-policy
May 2026,May 25,NHL,Hurricanes and Golden Knights advance to the Stanley Cup Final,OUTCOME,yes,in-scope
June 2026,Jun 1,Horse Racing,"Golden Tempo wins the Belmont Stakes, taking two of three Triple Crown races (Jun 6)",OUTCOME,yes,GAP
June 2026,Jun 1,NBA,NBA Finals begin between the Knicks and Spurs (Jun 3),RECURRING,yes,excluded-by-policy
June 2026,Jun 8,NBA,"Knicks win the NBA Finals over the Spurs 4-1, first title since 1973; Brunson named Finals MVP (Jun 13-14)",OUTCOME,yes,excluded-by-policy
June 2026,Jun 8,NHL,"Carolina Hurricanes beat the Golden Knights to win the Stanley Cup, first title in 20 years (Jun 14)",OUTCOME,yes,in-scope
June 2026,Jun 15,Soccer,"FIFA World Cup kicks off across the US, Mexico, and Canada (Jun 11)",RECURRING,no-mens-wc,GAP
June 2026,Jun 15,Golf,Wyndham Clark wins the US Open golf championship at Shinnecock Hills (Jun 18-21),OUTCOME,yes,GAP
June 2026,Jun 22,Soccer,World Cup group stage wraps up and knockout rounds begin; USMNT run a major storyline,RECURRING,no-mens-wc,GAP
July 2026,Jun 29,Soccer,World Cup Round of 16 and quarterfinals narrow the field,FIXED,no-mens-wc,GAP
July 2026,Jun 29,MLB,All-Star break arrives at the season's midpoint,RECURRING,yes,in-scope
July 2026,Jul 6,Soccer,World Cup semifinals set the final matchup between Spain and Argentina,FIXED,no-mens-wc,GAP
July 2026,Jul 13,Soccer,Spain beats Argentina 1-0 in extra time to win the FIFA World Cup final (Jul 19),OUTCOME,no-mens-wc,GAP
July 2026,Jul 13,Soccer,England beats France 6-4 in a high-scoring bronze-medal match,OUTCOME,no-mens-wc,GAP
July 2026,Jul 20,MLB,Pennant races intensify as contenders position for the trade deadline,RECURRING,yes,in-scope
July 2026,Jul 27,MLB,Trade deadline reshapes contenders ahead of the stretch run (~Jul 31),FIXED,yes,in-scope
August 2026,Aug 3,NFL,Training camps and preseason games begin league-wide,RECURRING,yes,in-scope
August 2026,Aug 3,MLB,Pennant races head into the season's final stretch,RECURRING,yes,in-scope
